,user,txt,dt,user_location
86,beadbud5000,I added a video to a @YouTube playlist https://t.co/5VJThHVSVk Big Pharma Has Launched A War On Medical Marijuana,Sun Jul 29 14:40:06 +0000 2018,"St. Petersburg, FL"
87,beadbud5000,"Legalization scares BIG PHARMA, ADA, ADM, because it would take away ad put it out of the reach of these industries… https://t.co/qhpJYOUAP2",Sun Jul 29 14:31:22 +0000 2018,"St. Petersburg, FL"
88,PamUnplugged,RT @ringoffireradio: Big Pharma Has Launched A War On Medical Marijuana: https://t.co/QZqkJUXw4A via @YouTube,Sun Jul 29 14:28:35 +0000 2018,Connecticut
89,AceTalks73,RT @nikkifried: In 100 days we need to elect a Commissioner of Agriculture and Consumer Services that will fight for the rights of medical…,Sun Jul 29 14:27:59 +0000 2018,"Florida, USA"
90,snapdaily05,RT @ringoffireradio: Big Pharma Has Launched A War On Medical Marijuana: https://t.co/QZqkJUXw4A via @YouTube,Sun Jul 29 14:23:56 +0000 2018,
91,wolflady61,I want to look into this more. https://t.co/Q6tIp1iVkO,Sun Jul 29 14:23:39 +0000 2018,"Fort Myers, FL"
92,beadbud5000,I liked a @YouTube video https://t.co/5VJThHVSVk Big Pharma Has Launched A War On Medical Marijuana,Sun Jul 29 14:23:12 +0000 2018,"St. Petersburg, FL"
93,IrvWashington1,"RT @CombatDebater: Court Rules:  Medical Marijuana Card Holders Can't Buy Firearms.

We live in a world where having a medical marijuana ca…",Sun Jul 29 14:16:22 +0000 2018,
94,jshaffren,RT @nikkifried: In 100 days we need to elect a Commissioner of Agriculture and Consumer Services that will fight for the rights of medical…,Sun Jul 29 14:09:25 +0000 2018,"Wellington, Florida"
95,AnubisScale,RT @ringoffireradio: Big Pharma Has Launched A War On Medical Marijuana: https://t.co/QZqkJUXw4A via @YouTube,Sun Jul 29 14:07:11 +0000 2018,"Still,somewhere on Earth. Sitting in limbo"
96,pumas90946558,RT @ringoffireradio: Big Pharma Has Launched A War On Medical Marijuana: https://t.co/QZqkJUXw4A via @YouTube,Sun Jul 29 14:07:03 +0000 2018,
97,nikkifried,In 100 days we need to elect a Commissioner of Agriculture and Consumer Services that will fight for the rights of… https://t.co/Kx4b2rRPiM,Sun Jul 29 14:04:25 +0000 2018,Ft. Lauderdale
98,ringoffireradio,Big Pharma Has Launched A War On Medical Marijuana: https://t.co/QZqkJUXw4A via @YouTube,Sun Jul 29 14:01:38 +0000 2018,Pensacola Florida
99,USF_HotTakes,@SenGillibrand @JacquezGreen Yeah like nobody going to jail for marijuana,Sun Jul 29 13:55:04 +0000 2018,"Tampa, FL"
100,EvanDonovan,"""Veterans need medical care, they need to deal with injuries and #PTSD. Veterans should have access to anything tha… https://t.co/Jv4IErjncW",Sun Jul 29 13:50:49 +0000 2018,"Tampa, FL"
101,TRUSTinbound,Hot off the press! THE INCROWD is out!  https://t.co/qRbJKSyctx Thanks to @KiffenCulture @Cannabis_Stocks… https://t.co/DX4vf9kQ4C,Sun Jul 29 13:36:53 +0000 2018,"Ponte Vedra, FL"
102,EvidenceRobot,RT @mdsportsinc: Marijuana and Its Effects on Athletic Performance:  A Systematic Review https://t.co/kKySdHBmxI,Sun Jul 29 13:32:18 +0000 2018,"Belfast, Northern Ireland"
